"V1","V2","V3","V4"
2840,998,250,94.6
2300,1030,128,51.8
2150,803,162,53.7
2010,861,110,33.6
2240,744,148,67.3
1900,577,103,33.6
2500,1020,210,89.7
1650,613,109,47.5
1600,609,51.1,30.4
2600,966,158,81.8
2440,1110,173,67.5
2280,835,158,76.4
2610,849,127,50.8
1840,653,105,44.6
1630,515,90.4,49.2
2000,560,55.1,33.4
1780,717,54.3,30.8
1430,457,116,65.7
2780,673,90,47
2940,1020,106,45.5
1970,693,147,73.1
2000,463,43.2,31.8
1570,379,50.3,21.9
2010,604,83.3,38.5
1720,475,61.9,31.2
2000,812,84.3,50.1
1250,379,33.3,16.3
1830,700,152,63
1780,574,113,50
2700,803,119,54.7
1980,708,101,50.8
1940,623,47.4,22.5
1450,538,110,46.2
1480,469,54.3,24.7
1580,578,42.5,24.2
1140,405,55.9,27
1610,408,116,54.8
1890,564,51.1,32.2
1570,564,94.4,42.9
1220,500,111,43.7
1450,509,43.2,24.1
1430,424,61.9,23.4
1590,400,51.9,23.4
1180,349,32.7,18.4
5760,2920,449,180
3990,1990,163,66.6
5020,2030,175,99.7
4200,1340,102,53.2
2780,940,102,34
2640,1090,160,64.8
1750,619,126,52.3
2020,776,48.6,19.8
3780,1490,217,112
4870,1950,338,162
4290,1580,276,121
3740,1550,270,104
3440,1210,186,76.4
2870,1280,80.4,37.9
2690,790,87.1,57
2300,988,82.4,47.9
2360,785,96,57
3170,1430,209,84.4
3290,1190,167,66.6
2580,870,161,98.5
3140,972,101,64.8
2290,666,114,47.6
2170,662,75.8,52.4
1710,630,87.1,53.2
1680,571,36.3,18
2900,1020,176,85.5
2700,1160,208,105
3510,1030,133,56.7
2260,785,140,64.8
2380,880,123,60.2
2200,920,91,42.2
1870,682,56.8,31.6
1810,513,71.3,33.6
2310,1300,304,114
2420,1260,89.9,38.4
2090,900,262,110
1850,983,88,38.4
1930,662,76.8,38.4
1740,690,71.6,32.9
1460,615,45.7,21.8
1360,561,25.2,14.3
1480,543,32.5,18.5
5090,1920,471,186
3340,1530,212,85.5
2730,845,157,69.4
2870,1100,157,87.5
3340,1090,172,101
3280,1150,128,64.8
2570,790,135,69.4
2610,1260,80.3,33.6
3020,935,134,65.7
2560,1350,440,131
2330,1120,238,110
1740,681,114,52.3
2020,876,114,45.4
1190,462,102,20.7
1230,480,97.6,46.7
1440,505,38.9,18.2
1530,709,48.5,17.1
1900,752,131,62.1
2270,631,99.7,50.2
1370,516,90.7,34.2
1880,701,112,36.9
1490,478,59.9,28.4
1590,442,81.8,34.1
1680,511,56.1,31.7
1120,497,39.7,22.1
2650,866,80.9,36.9
1900,972,216,82.9
1590,586,102,57.4
1860,579,62.4,35.1
991,362,19.5,10
1090,381,53.4,32.9
1490,698,50.9,24.1
2190,546,67.4,40.7
2010,690,54.9,26.8
2060,746,56.4,32.6
3800,1520,202,99
2370,888,130,69.9
2530,872,137,71.7
1880,562,136,69.9
1980,679,122,46
1870,638,65.5,38.5
1520,584,51.1,19.8
3390,1700,242,84.8
4480,1640,249,92.6
3660,1100,162,101
3820,1460,118,82.5
2650,1020,147,57.8
2210,743,101,51.8
2910,949,120,66.8
1740,691,77.1,39.4
3220,1420,455,197
2010,864,135,65.2
1740,488,58.8,30.1
1780,661,48.7,27.2
1240,527,81.1,44.3
982,370,44.2,22.5
870,299,26.5,14.4
1170,390,22.9,12.9
4070,1390,322,100
2520,1070,136,51.8
2680,1110,158,59.7
2340,712,99.1,57.8
2220,588,54,33
1740,526,72,54
1720,565,58.2,39.6
1720,538,59.9,32.5
2800,1770,319,109
3150,1350,203,87.8
2540,1080,171,78.6
2660,828,130,82.1
1830,898,60.5,31.2
1950,1100,57.8,27.4
2140,915,92.3,59.8
2970,891,172,83.7
1180,566,52.9,29.6
1840,853,75.9,37.4
4680,2450,309,111
2620,946,106,62.1
3110,1310,119,57
2220,597,32.2,21.3
2210,711,76.2,30.3
2230,884,93.6,46.9
2620,925,81,42.6
2050,663,52.5,34.7
3780,1580,211,114
3060,1370,280,136
3260,1560,175,96.1
2350,799,197,97.2
2610,872,139,76.5
2490,943,66.7,34.2
2800,910,153,70.8
2030,663,51.6,29.3
1400,473,65.1,44.3
1690,634,42.5,21.3
6020,2250,312,132
3460,1460,122,56.7
1830,721,40.1,26.4
1800,628,64.8,30
2030,715,73.3,39.1
1640,452,65.2,34.4
1990,557,78.3,43.5
1570,534,54.2,21.4
2620,1010,247,130
2980,1150,197,98.7
2490,979,92,33.7
2470,819,139,78.4
2040,926,100,48.7
2300,926,94.8,47
1770,653,60.8,25
1460,610,78.1,39.9
1580,524,44.8,19.8
3030,1370,265,110
2900,1040,119,52.3
2200,762,60.5,29.9
2250,822,101,41.3
1720,810,65.1,41.6
1740,695,46.7,23.4
1440,431,21.9,12.1
1200,464,29.4,12.7
1900,999,85.2,47.7
2220,960,229,131
2190,1000,165,77.6
2180,922,219,112
1710,637,89.9,55.6
1610,525,37.4,23.5
1800,607,55,32.5
5080,1430,261,117
3370,1140,264,118
1800,788,166,77.5
2130,787,88.4,46.3
2160,1060,58.6,37
1900,538,40.4,23.3
2130,679,44.8,27.6
2050,716,73.1,47.5
2870,1500,146,64.3
2260,1210,142,60.4
1880,893,160,63
2280,889,91.9,46.3
1690,709,129,60.7
1670,732,98.9,51.5
1600,599,51,20.6
1280,559,48.4,24.8
3400,1260,102,72.9
3190,1580,255,159
3070,1320,205,107
2590,995,138,76.7
3110,936,96,57.1
2960,1060,153,76.5
2710,687,39.9,23.9
2460,1190,73.9,47
2540,1360,201,74.6
2100,860,137,50.5
2410,788,128,68.3
2280,836,120,47.7
2170,961,108,50.9
1700,676,69.7,42.6
1750,634,55.9,23.2
1520,622,44.7,21
2420,800,121,58.6
2510,1020,142,63.9
1990,891,164,69.3
1930,579,76.8,47.1
1270,547,87.6,56.3
1590,616,66.1,35.6
1560,504,35.1,21.8
1320,484,37.4,19.7
1740,717,40.8,25.2
3470,1110,148,98.6
1910,626,126,85.4
2250,929,164,66
2640,769,132,63.2
1320,548,39.1,18.2
1890,707,40.2,19.1
1310,451,39.9,26.7
1110,430,22.4,10.8
5560,1490,168,67.8
3610,1790,285,121
3450,1040,123,57.3
2480,735,150,74.3
2430,701,148,71.6
1580,546,97.5,38.7
2280,676,32,16.6
1330,420,18.3,7.95
1710,788,175,48.9
1840,609,108,50.3
1530,551,73.3,36.5
2050,587,68.3,42.7
1490,597,71.1,30
1590,617,95.8,47.8
