"V1","V2","V3","V4","V5"
2840,998,669,697,307
2300,1030,658,654,349
2150,803,497,461,307
2010,861,589,574,300
2240,744,482,457,269
1900,577,328,354,283
2500,1020,654,697,304
1650,613,429,424,182
1600,609,388,366,189
2600,966,706,684,253
2440,1110,876,861,253
2280,835,616,607,258
2610,849,609,596,258
1840,653,468,470,206
1630,515,364,356,175
2000,560,380,381,182
1780,717,519,477,194
1430,457,321,322,142
2780,673,480,480,207
2940,1020,722,698,331
1970,693,500,492,233
2000,463,319,318,161
1570,379,243,236,136
2010,604,416,421,190
1720,475,340,336,140
2000,812,544,514,248
1250,379,258,247,130
1830,700,522,534,203
1780,574,403,400,175
2700,803,570,562,229
1980,708,503,497,232
1940,623,434,414,187
1450,538,364,374,187
1480,469,330,332,151
1580,578,393,392,189
1140,405,283,278,133
1610,408,283,291,146
1890,564,349,335,210
1570,564,395,390,209
1220,500,335,342,197
1450,509,333,336,192
1430,424,278,261,163
1590,400,266,277,173
1180,349,230,237,137
5760,2920,2110,2150,954
3990,1990,1480,1520,668
5020,2030,1450,1360,527
4200,1340,949,903,355
2780,940,662,630,267
2640,1090,770,791,315
1750,619,414,415,189
2020,776,554,507,212
3780,1490,1070,1070,415
4870,1950,1460,1460,623
4290,1580,1170,1240,456
3740,1550,1160,1190,404
3440,1210,850,842,411
2870,1280,850,795,369
2690,790,569,576,234
2300,988,641,600,312
2360,785,538,545,254
3170,1430,1050,1050,431
3290,1190,767,758,434
2580,870,673,648,231
3140,972,676,667,285
2290,666,471,490,214
2170,662,462,452,219
1710,630,459,435,192
1680,571,399,362,170
2900,1020,673,625,353
2700,1160,811,792,330
3510,1030,680,720,333
2260,785,541,545,277
2380,880,638,609,285
2200,920,669,659,276
1870,682,477,462,207
1810,513,349,350,181
2310,1300,971,985,321
2420,1260,949,949,315
2090,900,703,705,209
1850,983,794,800,178
1930,662,462,462,195
1740,690,500,492,185
1460,615,445,465,176
1360,561,389,375,169
1480,543,374,333,170
5090,1920,1350,1310,711
3340,1530,1080,1030,544
2730,845,582,575,267
2870,1100,818,827,285
3340,1090,818,818,281
3280,1150,873,860,285
2570,790,582,593,224
2610,1260,806,722,371
3020,935,660,673,263
2560,1350,1090,1190,289
2330,1120,871,922,254
1740,681,519,505,213
2020,876,627,656,225
1190,462,341,348,141
1230,480,339,353,175
1440,505,368,374,165
1530,709,484,450,191
1900,752,525,522,240
2270,631,434,425,208
1370,516,363,374,193
1880,701,510,542,209
