"V1","V2","V3","V4","V5"
607,92.4,6.4,24.9,827
599,52.4,7.6,31.2,510
439,74.5,4.7,29,536
531,63.1,4,30.1,489
419,80.3,11,18,503
325,57.6,4,23.9,582
565,79.1,15.8,34.5,601
345,20.4,13.4,14.4,350
309,23.9,5,19.9,353
461,56.5,64,78.6,686
643,54.5,69.3,66.4,519
509,97.1,29,29.4,650
489,91.2,28.2,24.1,582
381,39.8,21.9,30.5,406
274,23.9,32.9,16.2,424
289,32.8,19.4,21.1,426
357,24.6,22.6,23.1,424
228,56.5,28.2,25.1,266
391,35.7,24,24.1,716
550,53,28.5,41.6,764
431,73.6,21.2,32.8,594
231,29.3,14.1,18.2,688
187,22.8,10,15.2,447
311,40.5,26.1,33.9,562
284,21.3,12,22.1,470
381,36.6,22,26.1,475
205,20.6,9.6,19.1,303
390,33.8,29.7,55.9,341
352,33.1,12.5,15.2,491
458,49.8,31.3,38.3,545
445,41.1,15.7,14.3,515
328,32,33.6,21.1,348
330,26.1,12.1,15.2,284
260,21.1,16.8,12.5,355
304,28.4,21.7,17.2,307
231,23.7,10,13.4,256
267,44.4,6,11.6,793
262,32.1,11.5,21.1,524
316,70,11.5,18.2,318
273,53.2,10.6,28.3,371
269,27.3,11.5,17.2,401
220,44.4,7,11.6,343
222,42.2,5,11.6,539
192,24.6,6.68,11.6,309
1810,351,144,133,1330
1040,210,102,120,675
949,176,82.9,61.4,1160
674,90.5,53.9,61.4,865
478,25.2,32.5,40.5,896
656,34.1,33.4,28.3,499
345,37.3,11.9,23.1,568
372,20.3,27.4,35,445
726,196,108,294,959
1300,269,72.3,133,1620
1030,113,67.9,57.4,1370
848,140,69,186,775
662,169,71.2,94.6,898
574,72.9,37.1,33,690
438,69.7,35.3,25.8,524
446,61.5,27.4,23.3,367
431,39.9,26.6,36,525
848,157,46.8,52.7,638
543,177,47.8,49.2,839
543,52.8,23.3,25.8,453
524,62.4,30,25.8,648
376,54.7,15.8,21.3,398
369,34.9,15.8,19.5,450
345,34.9,24.9,18.7,316
283,24.6,14.5,13.1,310
579,151,18.8,21.3,1010
665,66.6,46.8,38,566
627,75.1,11.9,71.8,775
421,67.6,21.8,35,521
517,80.9,24.9,28.5,420
509,51.1,26.6,24,414
332,29.5,21.8,26.7,291
278,26.6,16.5,17.1,342
894,91.8,39,51.1,451
743,51.1,48.8,101,567
654,48.4,13.2,22.3,601
582,22,55,57.9,382
352,32.5,21,20.2,486
369,29.5,23.3,29.3,381
396,22,15.2,14.8,245
305,25.9,13.2,16.7,242
238,18.2,13.2,14,303
1260,311,56.1,44.4,1680
883,210,98.8,57,839
523,116,19.5,20.9,1010
596,103,61.4,59.6,864
682,91.8,36.2,44.4,925
775,82,24.9,35.6,720
509,71.8,29.1,23.7,778
512,67.6,43.8,19.5,418
568,88,23.3,35.6,746
950,66.3,85.2,32.5,475
662,42.4,89.4,93,724
455,55.6,26.6,22,480
518,39.7,48.8,25.2,455
278,23.3,13.9,14.3,239
287,44.3,12.3,12.6,219
313,23.5,17.7,16.3,338
325,25.5,24.8,20.1,274
397,77.1,81.1,21.7,549
338,49,13.2,21.9,714
297,29.2,51.4,13.8,326
425,34.7,39.6,24.5,570
251,15.2,27.9,20.6,439
249,16.1,25,15.3,398
243,39.4,12.6,17.4,524
220,20.2,20.2,10.2,237
464,167,18.7,19.4,955
608,94.4,31.2,34.5,362
374,29.1,14.8,15.2,261
327,25.5,17.2,22.1,480
172,36.8,11,10.5,198
196,30.4,8.32,12.6,207
333,56,21.5,17.5,292
318,37.2,15.5,19.6,793
346,37.5,19.5,18.7,397
335,91,45.2,184,537
698,204,69.7,113,1240
422,130,39.6,80.6,649
523,70.6,22,34.1,812
348,38.8,15.7,29.5,700
430,40.2,18,28.9,460
293,54.1,22.3,26.8,473
296,34.6,26.2,21,350
1120,120,81,71.8,635
916,227,78.9,39.8,1480
687,112,25.4,30.6,925
794,124,35.2,27.2,998
580,92.7,53.8,36.9,697
411,64.3,18.5,28.4,554
479,103,23.9,23.3,742
436,33.7,10.1,25.9,351
949,133,25.3,31.8,1040
584,31.7,21.4,36.9,504
272,34.2,8.3,10,531
322,38.3,13.9,19.4,483
327,26.4,9.58,12.5,297
191,23.4,7.39,10.3,207
157,18.4,7.73,15.3,185
172,19.9,7.16,13.5,243
876,286,18.9,103,1800
511,66,64.8,87.5,468
640,154,26.2,53.7,516
388,52.4,25.6,31.2,706
310,34.4,22.9,24.2,524
303,30.3,14.6,17,280
266,23,21.8,27.6,372
303,30.9,13,17.2,459
1070,89,88.4,150,349
686,115,79,119,582
708,56.5,39.7,46.6,581
476,24.7,35.9,41.7,580
